titulo,precio_num,imagen_url,fuente
Piso en calle de Barberán y Collar,372000,https://fotos.imghs.net/mm-wp/1002/117/1002_612117_99_2025073112075838372.jpeg,pisos.com
Piso en calle de la Montera,840000,https://fotos.imghs.net/mm-wp/1005/116/1005_3800116_3_2023111515113283168.jpg,pisos.com
Piso en calle de Ferraz,2495000,https://fotos.imghs.net/mm-wp/1018/537/1018_106796537_1_2025071010071953433.jpg,pisos.com
Piso en calle de Antonio Maura,4850000,https://fotos.imghs.net/mm-wp/1018/199/1018_106795199_1_2025070919071805656.jpg,pisos.com
Piso en calle de la Montera,470000,https://fotos.imghs.net/mm-wp/1005/060/1005_4163060_1_2025070514071030724.jpg,pisos.com
Piso en calle de San Faustino,825000,https://fotos.imghs.net/mm-wp/517810/55874507588.517810/517810_55874507588_84945cf7-df0e-40a4-8d0f-3896138c909c.jpg,pisos.com
Piso en calle de la Comunidad de Madrid,590000,https://fotos.imghs.net/mm-wp/1005/619/1005_258281347619_1_2025120113120952542.jpg,pisos.com
Chalet en Ronda del Monte,241000,https://fotos.imghs.net/mm-wp/1005/224/1005_4131224_1_2025052713054411861.jpg,pisos.com
Dúplex en calle del Pilar,177000,https://fotos.imghs.net/mm-wp/1005/814/1005_4138814_1_2025103019100934770.jpg,pisos.com
Chalet en calle de Benita Ávila,850000,https://fotos.imghs.net/mm-wp/1018/660/1018_106000660_1_2025051917051398675.jpg,pisos.com
Piso en calle del Espíritu Santo,410000,https://fotos.imghs.net/mm-wp/1005/084/1005_20171551084_1_2025050519055104541.jpg,pisos.com
"Ático en calle de Almíbar, 131",312100,https://fotos.imghs.net/mm-wp/994226/53414641790.994226/994226_53414641790_d1341dbe-ea10-41cf-8d8c-e8539ab9a449.jpg,pisos.com
Dúplex en calle de Víctor González,249000,https://fotos.imghs.net/mm-wp/1005/985/1005_4120985_17_2025040813040217020.jpg,pisos.com
Loft en calle de Cronos,430000,https://fotos.imghs.net/mm-wp/1002/058/1002_616058_5_2025040511045604203.jpeg,pisos.com
Chalet pareado en Carretera Colmenar,815000,https://fotos.imghs.net/mm-wp/997919/52549789073.997919/997919_52549789073_5c4ddeda-06fd-415f-b774-fafe12abc794.jpg,pisos.com
Piso en Avenida de Francisco Javier Sauquillo,189900,https://fotos.imghs.net/mm-wp/996012/52513279662.996012/996012_52513279662_e2a1928d-7492-4155-bb1b-cbfba82b68d8.jpg,pisos.com
Piso en calle de Miguel de Unamuno,189900,https://fotos.imghs.net/mm-wp/996012/52546555193.996012/996012_52546555193_cee9f488-b4a6-4f7d-9164-23252277386d.jpg,pisos.com
Piso en calle de la Luna,840000,https://fotos.imghs.net/mm-wp/1492/50037298481.149200/1492_50037298481_e613914f-ac99-42cd-bf5f-e5b25b09fe65.jpg,pisos.com
Chalet en calle calle Camino de Hoyarrasa,2890000,https://fotos.imghs.net/mm-wp/1018/223/1018_28239223_1_2025030413030130943.jpg,pisos.com
Chalet en calle de los Zorzales,576000,https://fotos.imghs.net/mm-wp/1005/303/1005_3916303_1_2024020618020466785.jpg,pisos.com
Casa en Lozoya,330000,https://fotos.imghs.net/mm-wp/996152/39244475240.996152/996152_39244475240_1_20231108111855031.jpg,pisos.com
